timestamp,type,channel,merchant,amount,balance_after
2025-05-16T17:49:45.498860,DEBIT,BILL_UTILITY,ElectricityBoard,1102.93,7344.4
2025-05-16T18:34:45.498860,DEBIT,BILL_UTILITY,WaterDept,978.62,6365.78
2025-05-17T10:00:45.498860,DEBIT,CARD_POS,Restaurant,1317,5048.78
2025-05-17T13:31:45.498860,DEBIT,UPI,GPay:Friend,2569.59,2479.19
2025-05-18T12:23:45.498860,DEBIT,UPI,Paytm:VegMarket,2111.69,367.5
2025-05-18T12:10:45.498860,DEBIT,UPI,Paytm:VegMarket,454.23,-86.73
2025-05-20T10:45:45.498860,DEBIT,CARD_POS,DMart,2377.09,-2463.82
2025-05-21T12:32:45.498860,DEBIT,CARD_POS,DMart,1248.1,-3711.92
2025-05-22T16:06:45.498860,DEBIT,UPI,Paytm:VegMarket,1107.17,-4819.09
2025-05-23T15:21:45.498860,DEBIT,CARD_POS,BigBazaar,548.68,-5367.77
2025-05-23T11:53:45.498860,DEBIT,UPI,GPay:Kirana,1243.88,-6611.65
2025-05-24T09:04:45.498860,DEBIT,UPI,GPay:Friend,2559.91,-9171.56
2025-05-24T12:34:45.498860,DEBIT,UPI,GPay:Kirana,340.2,-9511.76
2025-05-27T17:36:45.498860,DEBIT,WALLET_TOPUP,WalletTopup,466.48,-9978.24
2025-05-30T11:32:45.498860,DEBIT,WALLET_TOPUP,WalletTopup,607.1,-10585.34
2025-05-31T10:24:45.498860,DEBIT,UPI,Paytm:VegMarket,691.05,-11276.39
2025-05-31T11:39:45.498860,DEBIT,UPI,Paytm:VegMarket,576.72,-11853.11
2025-06-01T09:39:45.498860,DEBIT,UPI,UPI:Tution,1168.4,-13021.51
2025-06-03T10:12:45.498860,CREDIT,SALARY,Employer Pvt Ltd,32142.57,19121.06
2025-06-04T10:24:45.498860,DEBIT,CARD_POS,AmazonPay,197.1,18923.96
2025-06-04T15:56:45.498860,DEBIT,CARD_POS,BigBazaar,1548.83,17375.13
2025-06-07T10:31:45.498860,DEBIT,CARD_POS,Restaurant,880.93,16494.2
2025-06-07T08:05:45.498860,DEBIT,EMI_PAYMENT,EMI:Bike,1599,14895.2
2025-06-08T14:57:45.498860,DEBIT,UPI,UPI:Tution,1864.49,13030.71
2025-06-09T13:43:45.498860,DEBIT,UPI,GPay:Kirana,535.8,12494.91
2025-06-11T12:29:45.498860,DEBIT,UPI,GPay:Friend,867.34,11627.57
2025-06-11T20:41:45.498860,DEBIT,CARD_POS,BigBazaar,2650.7,8976.87
2025-06-12T11:27:45.498860,DEBIT,UPI,UPI:Tution,1946.02,7030.85
2025-06-13T18:57:45.498860,DEBIT,UPI,Paytm:VegMarket,1587.06,5443.79
2025-06-15T17:39:45.498860,DEBIT,UPI,UPI:Tution,1990.17,3453.62
2025-06-15T13:21:45.498860,DEBIT,BILL_UTILITY,MobileBill,1267.77,2185.85
2025-06-17T11:36:45.498860,DEBIT,UPI,UPI:Tution,4152.01,-1966.16
2025-06-17T12:04:45.498860,DEBIT,UPI,PhonePe:Pharmacy,649.93,-2616.09
2025-06-18T12:32:45.498860,DEBIT,CARD_POS,Restaurant,917.65,-3533.74
2025-06-19T10:51:45.498860,DEBIT,UPI,GPay:Kirana,3061.89,-6595.63
2025-06-20T09:55:45.498860,DEBIT,UPI,GPay:Kirana,309.12,-6904.75
2025-06-20T19:19:45.498860,DEBIT,CARD_POS,Restaurant,962.1,-7866.85
2025-06-21T11:42:45.498860,DEBIT,CARD_POS,DMart,1170.67,-9037.52
2025-06-23T20:30:45.498860,DEBIT,BILL_UTILITY,MobileBill,913.76,-9951.28
2025-06-23T10:34:45.498860,DEBIT,UPI,GPay:Kirana,1678.03,-11629.31
2025-06-24T10:50:45.498860,DEBIT,UPI,PhonePe:Pharmacy,2013.39,-13642.7
2025-06-24T13:49:45.498860,DEBIT,UPI,GPay:Kirana,780.73,-14423.43
2025-06-26T17:35:45.498860,DEBIT,BILL_UTILITY,DTH,1403.22,-15826.65
2025-06-26T11:48:45.498860,DEBIT,UPI,Paytm:VegMarket,1719.49,-17546.14
2025-06-27T13:11:45.498860,DEBIT,UPI,GPay:Friend,2527.78,-20073.92
2025-06-27T17:34:45.498860,DEBIT,UPI,Paytm:VegMarket,701.68,-20775.6
2025-06-29T14:12:45.498860,DEBIT,BILL_UTILITY,WaterDept,1526.37,-22301.97
2025-06-30T17:18:45.498860,DEBIT,UPI,Paytm:VegMarket,1137.31,-23439.28
2025-06-30T11:57:45.498860,DEBIT,UPI,Paytm:VegMarket,1407.31,-24846.59
2025-07-01T20:24:45.498860,DEBIT,UPI,PhonePe:Pharmacy,1016.67,-25863.26
2025-07-01T18:38:45.498860,DEBIT,CARD_POS,Restaurant,861.98,-26725.24
2025-07-02T15:28:45.498860,DEBIT,CARD_POS,AmazonPay,1337.06,-28062.3
2025-07-03T10:12:45.498860,CREDIT,SALARY,Employer Pvt Ltd,32936.26,4873.96
2025-07-04T09:37:45.498860,DEBIT,BILL_UTILITY,ElectricityBoard,1119.65,3754.31
2025-07-05T10:04:45.498860,DEBIT,UPI,UPI:Tution,754.65,2999.66
2025-07-05T16:47:45.498860,DEBIT,CARD_POS,Restaurant,335.32,2664.34
2025-07-07T08:05:45.498860,DEBIT,EMI_PAYMENT,EMI:Phone,1599,1065.34
2025-07-09T20:30:45.498860,DEBIT,BILL_UTILITY,Broadband,764.18,301.16
2025-07-09T15:26:45.498860,DEBIT,CARD_POS,Restaurant,2245.36,-1944.2
2025-07-10T10:27:45.498860,DEBIT,BILL_UTILITY,WaterDept,1195.25,-3139.45
2025-07-11T17:38:45.498860,DEBIT,UPI,PhonePe:Pharmacy,482.79,-3622.24
2025-07-13T16:32:45.498860,DEBIT,CARD_POS,Flipkart,1033.19,-4655.43
2025-07-13T20:44:45.498860,DEBIT,UPI,GPay:Friend,1482.63,-6138.06
2025-07-16T13:35:45.498860,DEBIT,BILL_UTILITY,MobileBill,1256.02,-7394.08
2025-07-16T10:46:45.498860,DEBIT,CARD_POS,Restaurant,1130.35,-8524.43
2025-07-19T18:31:45.498860,DEBIT,UPI,UPI:Tution,2758.88,-11283.31
2025-07-20T16:57:45.498860,DEBIT,CARD_POS,DMart,637.63,-11920.94
2025-07-21T12:26:45.498860,DEBIT,UPI,Paytm:VegMarket,607.05,-12527.99
2025-07-22T13:19:45.498860,DEBIT,UPI,GPay:Kirana,544.9,-13072.89
2025-07-26T17:01:45.498860,DEBIT,UPI,PhonePe:Pharmacy,1022.33,-14095.22
2025-07-27T10:58:45.498860,DEBIT,BILL_UTILITY,ElectricityBoard,1362.22,-15457.44
2025-07-30T19:20:45.498860,DEBIT,UPI,Paytm:VegMarket,1033.79,-16491.23
2025-07-30T19:26:45.498860,DEBIT,CARD_POS,Flipkart,2896.18,-19387.41
2025-08-03T10:12:45.498860,CREDIT,SALARY,Employer Pvt Ltd,28869.34,9481.93
2025-08-05T09:04:45.498860,DEBIT,BILL_UTILITY,MobileBill,974.68,8507.25
2025-08-05T13:52:45.498860,DEBIT,WALLET_TOPUP,WalletTopup,500.79,8006.46
2025-08-07T09:20:45.498860,DEBIT,BILL_UTILITY,ElectricityBoard,1211.75,6794.71
2025-08-07T08:05:45.498860,DEBIT,EMI_PAYMENT,EMI:Phone,1599,5195.71
2025-08-08T16:31:45.498860,DEBIT,UPI,UPI:Tution,546.41,4649.3
2025-08-09T18:57:45.498860,DEBIT,UPI,Paytm:VegMarket,655.06,3994.24
2025-08-10T20:04:45.498860,DEBIT,CARD_POS,DMart,746.83,3247.41
2025-08-11T17:16:45.498860,DEBIT,BILL_UTILITY,DTH,1423.21,1824.2
2025-08-12T11:38:45.498860,DEBIT,UPI,GPay:Friend,1736.72,87.48
2025-08-12T14:49:45.498860,DEBIT,UPI,GPay:Friend,2658.27,-2570.79
2025-08-13T17:37:45.498860,DEBIT,CARD_POS,DMart,548.2,-3118.99
2025-08-15T11:16:45.498860,DEBIT,UPI,Paytm:VegMarket,1218.16,-4337.15
2025-08-15T16:04:45.498860,DEBIT,BILL_UTILITY,WaterDept,774.15,-5111.3
2025-08-16T19:42:45.498860,DEBIT,CARD_POS,DMart,1075.08,-6186.38
2025-08-17T11:31:45.498860,DEBIT,UPI,UPI:Tution,438.07,-6624.45
2025-08-17T10:57:45.498860,DEBIT,CARD_POS,FuelStation,1569.22,-8193.67
2025-08-18T13:05:45.498860,DEBIT,UPI,Paytm:VegMarket,739.13,-8932.8
2025-08-18T18:45:45.498860,DEBIT,UPI,UPI:Tution,587.66,-9520.46
2025-08-19T17:21:45.498860,DEBIT,UPI,GPay:Friend,388.65,-9909.11
2025-08-20T09:25:45.498860,DEBIT,CARD_POS,FuelStation,412.68,-10321.79
2025-08-20T12:14:45.498860,DEBIT,BILL_UTILITY,DTH,1245.38,-11567.17
2025-08-21T18:27:45.498860,DEBIT,UPI,Paytm:VegMarket,597.12,-12164.29
2025-08-21T16:50:45.498860,DEBIT,UPI,PhonePe:Pharmacy,3082.05,-15246.34
2025-08-22T19:46:45.498860,DEBIT,CARD_POS,DMart,928,-16174.34
2025-08-22T17:54:45.498860,DEBIT,UPI,UPI:Tution,851.27,-17025.61
2025-08-24T14:25:45.498860,DEBIT,CARD_POS,Flipkart,2033.91,-19059.52
2025-08-25T11:40:45.498860,DEBIT,UPI,GPay:Kirana,1308.58,-20368.1
2025-08-27T10:46:45.498860,DEBIT,UPI,GPay:Kirana,2044.55,-22412.65
2025-08-29T19:55:45.498860,DEBIT,UPI,GPay:Kirana,1810.31,-24222.96
2025-08-29T17:32:45.498860,DEBIT,CARD_POS,DMart,899.13,-25122.09
2025-08-31T16:54:45.498860,DEBIT,UPI,PhonePe:Pharmacy,959.3,-26081.39
2025-09-02T13:35:45.498860,DEBIT,UPI,GPay:Friend,98.19,-26179.58
2025-09-02T19:03:45.498860,DEBIT,WALLET_TOPUP,WalletTopup,526.09,-26705.67
2025-09-03T10:12:45.498860,CREDIT,SALARY,Employer Pvt Ltd,37269.68,10564.01
2025-09-03T11:56:45.498860,DEBIT,BILL_UTILITY,Broadband,1019,9545.01
2025-09-03T18:50:45.498860,DEBIT,CARD_POS,BigBazaar,737.69,8807.32
2025-09-06T12:48:45.498860,DEBIT,WALLET_TOPUP,WalletTopup,363.55,8443.77
2025-09-07T14:36:45.498860,DEBIT,CARD_POS,Flipkart,1729.32,6714.45
2025-09-07T14:49:45.498860,DEBIT,CARD_POS,Flipkart,965.43,5749.02
2025-09-07T08:05:45.498860,DEBIT,EMI_PAYMENT,EMI:Appliance,1599,4150.02
2025-09-09T16:01:45.498860,DEBIT,CARD_POS,Flipkart,1558.12,2591.9
2025-09-09T11:29:45.498860,DEBIT,UPI,UPI:Tution,1062.27,1529.63
2025-09-10T20:43:45.498860,DEBIT,BILL_UTILITY,MobileBill,944.05,585.58
2025-09-10T14:28:45.498860,DEBIT,UPI,UPI:Tution,752.79,-167.21
2025-09-11T11:20:45.498860,DEBIT,CARD_POS,BigBazaar,379.28,-546.49
2025-09-11T17:44:45.498860,DEBIT,UPI,GPay:Kirana,1745.55,-2292.04
2025-09-12T15:39:45.498860,DEBIT,UPI,UPI:Tution,359.99,-2652.03
2025-09-13T09:24:45.498860,DEBIT,BILL_UTILITY,MobileBill,1376.98,-4029.01
2025-09-16T16:39:45.498860,DEBIT,UPI,Paytm:VegMarket,4081.03,-8110.04
2025-09-16T09:51:45.498860,DEBIT,CARD_POS,BigBazaar,292.59,-8402.63
2025-09-17T12:28:45.498860,DEBIT,BILL_UTILITY,MobileBill,1485.94,-9888.57
2025-09-18T12:21:45.498860,DEBIT,CARD_POS,Flipkart,2118.29,-12006.86
2025-09-19T09:53:45.498860,DEBIT,CARD_POS,DMart,1820.85,-13827.71
2025-09-20T16:04:45.498860,DEBIT,CARD_POS,Flipkart,594.86,-14422.57
2025-09-22T19:30:45.498860,DEBIT,UPI,GPay:Kirana,111.96,-14534.53
2025-09-22T12:10:45.498860,DEBIT,CARD_POS,Restaurant,3181.62,-17716.15
2025-09-23T14:05:45.498860,DEBIT,BILL_UTILITY,MobileBill,1329.25,-19045.4
2025-09-24T16:42:45.498860,DEBIT,CARD_POS,FuelStation,1274.61,-20320.01
2025-09-24T12:47:45.498860,DEBIT,BILL_UTILITY,WaterDept,1860.89,-22180.9
2025-09-27T16:40:45.498860,DEBIT,UPI,UPI:Tution,3479.63,-25660.53
2025-09-27T15:00:45.498860,DEBIT,BILL_UTILITY,ElectricityBoard,1536.36,-27196.89
2025-09-28T09:53:45.498860,DEBIT,UPI,Paytm:VegMarket,821.42,-28018.31
2025-09-29T17:52:45.498860,DEBIT,UPI,UPI:Tution,803.76,-28822.07
2025-09-29T19:37:45.498860,DEBIT,UPI,UPI:Tution,478.33,-29300.4
2025-09-30T19:16:45.498860,DEBIT,CARD_POS,DMart,237.42,-29537.82
2025-10-01T12:05:45.498860,DEBIT,UPI,PhonePe:Pharmacy,970.68,-30508.5
2025-10-01T19:21:45.498860,DEBIT,UPI,Paytm:VegMarket,1396.65,-31905.15
2025-10-02T09:19:45.498860,DEBIT,UPI,PhonePe:Pharmacy,475.97,-32381.12
2025-10-03T10:12:45.498860,CREDIT,SALARY,Employer Pvt Ltd,36291.67,3910.55
2025-10-03T15:00:45.498860,DEBIT,BILL_UTILITY,Broadband,865.09,3045.46
2025-10-05T11:31:45.498860,DEBIT,CARD_POS,FuelStation,1246.54,1798.92
2025-10-06T10:00:45.498860,DEBIT,UPI,GPay:Kirana,1093.36,705.56
2025-10-07T14:27:45.498860,DEBIT,CARD_POS,FuelStation,730.98,-25.42
2025-10-07T08:05:45.498860,DEBIT,EMI_PAYMENT,EMI:Bike,1599,-1624.42
2025-10-08T15:02:45.498860,DEBIT,CARD_POS,Flipkart,861.91,-2486.33
2025-10-09T20:32:45.498860,DEBIT,UPI,GPay:Kirana,842.27,-3328.6
2025-10-10T11:23:45.498860,DEBIT,WALLET_TOPUP,WalletTopup,683.33,-4011.93
2025-10-10T16:53:45.498860,DEBIT,UPI,GPay:Kirana,115.93,-4127.86
2025-10-12T11:31:45.498860,DEBIT,CARD_POS,AmazonPay,1241.55,-5369.41
2025-10-12T16:45:45.498860,DEBIT,WALLET_TOPUP,WalletTopup,646.74,-6016.15
2025-10-13T10:06:45.498860,DEBIT,WALLET_TOPUP,WalletTopup,246.01,-6262.16
2025-10-13T13:18:45.498860,DEBIT,CARD_POS,AmazonPay,532.1,-6794.26
2025-10-15T12:10:45.498860,DEBIT,CARD_POS,DMart,2061.07,-8855.33
2025-10-15T15:54:45.498860,DEBIT,UPI,GPay:Kirana,975.16,-9830.49
